id,file_name,duration,language
0,ambo_noticiero-10-06-2022_144220.0-144970.0,0 s,ambos
2,ambos_noticiero-01-07-2022_1021570.0-1023940.0,2 s,ambos
3,ambos_noticiero-01-07-2022_1052980.0-1055520.0,2 s,ambos
4,ambos_noticiero-01-07-2022_1067550.0-1068840.0,1 s,ambos
5,ambos_noticiero-01-07-2022_1523670.0-1525630.0,1 s,ambos
6,ambos_noticiero-01-07-2022_153970.0-156860.0,2 s,ambos
7,ambos_noticiero-01-07-2022_178750.0-181130.0,2 s,ambos
8,ambos_noticiero-01-07-2022_534900.0-536830.0,1 s,ambos
9,ambos_noticiero-01-07-2022_544540.0-545740.0,1 s,ambos
10,ambos_noticiero-01-07-2022_593980.0-596470.0,2 s,ambos
11,ambos_noticiero-01-07-2022_671600.0-675470.0,3 s,ambos
12,ambos_noticiero-01-07-2022_948910.0-949580.0,0 s,ambos
13,ambos_noticiero-04-07-2022_1027349.9999999999-1029369.9999999999,2 s,ambos
14,ambos_noticiero-04-07-2022_1119170.0-1121190.0,2 s,ambos
15,ambos_noticiero-04-07-2022_1128140.0-1130060.0,1 s,ambos
16,ambos_noticiero-04-07-2022_1132280.0-1134350.0,2 s,ambos
17,ambos_noticiero-04-07-2022_1161850.0-1163510.0,1 s,ambos
18,ambos_noticiero-04-07-2022_1264300.0-1272780.0,8 s,ambos
19,ambos_noticiero-04-07-2022_187930.0-189930.0,2 s,ambos
20,ambos_noticiero-04-07-2022_422140.0-424510.0,2 s,ambos
21,ambos_noticiero-04-07-2022_430480.0-431830.0,1 s,ambos
22,ambos_noticiero-04-07-2022_461600.0-464030.0,2 s,ambos
23,ambos_noticiero-04-07-2022_507290.0-508470.0,1 s,ambos
24,ambos_noticiero-04-07-2022_512539.0-514559.99999999994,2 s,ambos
25,ambos_noticiero-04-07-2022_514559.99999999994-516849.00000000006,2 s,ambos
26,ambos_noticiero-04-07-2022_524650.0-527680.0,3 s,ambos
27,ambos_noticiero-04-07-2022_551750.0-554950.0,3 s,ambos
28,ambos_noticiero-04-07-2022_597590.0-599050.0,1 s,ambos
29,ambos_noticiero-04-07-2022_611190.0-613110.0,1 s,ambos
30,ambos_noticiero-04-07-2022_692970.0-694070.0,1 s,ambos
31,ambos_noticiero-04-07-2022_699410.0-700440.0,1 s,ambos
32,ambos_noticiero-04-07-2022_701290.0-702380.0,1 s,ambos
33,ambos_noticiero-04-07-2022_70970.0-74620.0,3 s,ambos
34,ambos_noticiero-04-07-2022_722610.0-724470.0,1 s,ambos
35,ambos_noticiero-04-07-2022_92810.0-93940.0,1 s,ambos
36,ambos_noticiero-04-07-2022_971790.0-972510.0,0 s,ambos
37,ambos_noticiero-04-07-2022_993330.0-995940.0,2 s,ambos
38,ambos_noticiero-04-07-2022_996540.0-998450.0,1 s,ambos
39,ambos_noticiero-04-07-2022_999500.0-1000210.0,0 s,ambos
40,ambos_noticiero-06-04-2022_13510.0-30790.0,17 s,ambos
41,ambos_noticiero-06-04-2022_136460.0-137530.0,1 s,ambos
42,ambos_noticiero-06-04-2022_1371590.0-1372130.0,0 s,ambos
43,ambos_noticiero-06-04-2022_169510.0-171420.0,1 s,ambos
44,ambos_noticiero-06-04-2022_187760.0-189870.0,2 s,ambos
45,ambos_noticiero-06-04-2022_248370.0-249840.0,1 s,ambos
46,ambos_noticiero-06-04-2022_566800.0-568990.0,2 s,ambos
47,ambos_noticiero-06-04-2022_600810.0-603350.0,2 s,ambos
48,ambos_noticiero-06-04-2022_609010.0-610370.0,1 s,ambos
49,ambos_noticiero-06-04-2022_705840.0-707500.0,1 s,ambos
50,ambos_noticiero-06-07-2022_1072570.0-1074830.0,2 s,ambos
51,ambos_noticiero-06-07-2022_1115840.0-1117780.0,1 s,ambos
52,ambos_noticiero-06-07-2022_1118910.0-1120210.0,1 s,ambos
53,ambos_noticiero-06-07-2022_1152770.0-1154350.0,1 s,ambos
54,ambos_noticiero-06-07-2022_1431660.0-1432430.0,0 s,ambos
55,ambos_noticiero-06-07-2022_1433050.0-1434560.0,1 s,ambos
56,ambos_noticiero-06-07-2022_1464410.0-1466300.0,1 s,ambos
57,ambos_noticiero-06-07-2022_160410.0-164720.0,4 s,ambos
58,ambos_noticiero-06-07-2022_164720.0-166290.0,1 s,ambos
59,ambos_noticiero-06-07-2022_225160.0-226430.0,1 s,ambos
60,ambos_noticiero-06-07-2022_268100.0-270300.0,2 s,ambos
61,ambos_noticiero-06-07-2022_270300.0-271790.0,1 s,ambos
62,ambos_noticiero-06-07-2022_595920.0-597520.0,1 s,ambos
63,ambos_noticiero-06-07-2022_650800.0-651960.0,1 s,ambos
64,ambos_noticiero-06-07-2022_666560.0-668210.0,1 s,ambos
65,ambos_noticiero-06-07-2022_682800.0-684380.0,1 s,ambos
